,path,filename,full_duration,duration_limit,padding,missing_samples,spectrogram_min,spectrogram_max,mel_spectrogram_min,mel_spectrogram_max,mfcc_min,mfcc_max,spectrogram_path,mel_spectrogram_path,mfcc_path
1069,E:\Sample library\2021\Dinma [Dreamscape]\d.j.rogers-faithfultotheend (1) [Stab].wav,d.j.rogers-faithfultotheend (1) [Stab].wav,0.78,8,True,318523,-55.00002670288086,24.99997329711914,-74.39390563964844,5.606091022491455,-649.5875244140625,186.28701782226562,E:\Documents\My Projects\Filtr\Data\audio_vectors\features\Spectrograms\d.j.rogers-faithfultotheend (1) [Stab].npy,E:\Documents\My Projects\Filtr\Data\audio_vectors\features\MelSpectrograms\d.j.rogers-faithfultotheend (1) [Stab].npy,E:\Documents\My Projects\Filtr\Data\audio_vectors\features\MFCCs\d.j.rogers-faithfultotheend (1) [Stab].npy
1070,E:\Sample library\2021\Dinma [Dreamscape]\d.j.rogers-faithfultotheend (1).wav,d.j.rogers-faithfultotheend (1).wav,19.21,8,False,0,-47.74983215332031,32.25016784667969,-67.09861755371094,12.901378631591797,-394.1528015136719,223.60205078125,E:\Documents\My Projects\Filtr\Data\audio_vectors\features\Spectrograms\d.j.rogers-faithfultotheend (1).npy,E:\Documents\My Projects\Filtr\Data\audio_vectors\features\MelSpectrograms\d.j.rogers-faithfultotheend (1).npy,E:\Documents\My Projects\Filtr\Data\audio_vectors\features\MFCCs\d.j.rogers-faithfultotheend (1).npy
1071,E:\Sample library\2021\Dinma [Dreamscape]\d.j.rogers-faithfultotheend (2).wav,d.j.rogers-faithfultotheend (2).wav,35.92,8,False,0,-49.51054382324219,30.489456176757812,-69.16766357421875,10.8323392868042,-363.771728515625,222.5605010986328,E:\Documents\My Projects\Filtr\Data\audio_vectors\features\Spectrograms\d.j.rogers-faithfultotheend (2).npy,E:\Documents\My Projects\Filtr\Data\audio_vectors\features\MelSpectrograms\d.j.rogers-faithfultotheend (2).npy,E:\Documents\My Projects\Filtr\Data\audio_vectors\features\MFCCs\d.j.rogers-faithfultotheend (2).npy
1072,E:\Sample library\2021\Dinma [Dreamscape]\d.j.rogers-faithfultotheend (3).wav,d.j.rogers-faithfultotheend (3).wav,35.06,8,False,0,-47.81534194946289,32.18465805053711,-67.57151794433594,12.428479194641113,-320.779541015625,222.97845458984375,E:\Documents\My Projects\Filtr\Data\audio_vectors\features\Spectrograms\d.j.rogers-faithfultotheend (3).npy,E:\Documents\My Projects\Filtr\Data\audio_vectors\features\MelSpectrograms\d.j.rogers-faithfultotheend (3).npy,E:\Documents\My Projects\Filtr\Data\audio_vectors\features\MFCCs\d.j.rogers-faithfultotheend (3).npy
1073,E:\Sample library\2021\Dinma [Dreamscape]\d.j.rogerswatchoutfortheriders(1) [Tuned].wav,d.j.rogerswatchoutfortheriders(1) [Tuned].wav,12.17,8,False,0,-48.35834884643555,31.641651153564453,-68.021240234375,11.978763580322266,-377.47088623046875,215.83448791503906,E:\Documents\My Projects\Filtr\Data\audio_vectors\features\Spectrograms\d.j.rogerswatchoutfortheriders(1) [Tuned].npy,E:\Documents\My Projects\Filtr\Data\audio_vectors\features\MelSpectrograms\d.j.rogerswatchoutfortheriders(1) [Tuned].npy,E:\Documents\My Projects\Filtr\Data\audio_vectors\features\MFCCs\d.j.rogerswatchoutfortheriders(1) [Tuned].npy
1074,E:\Sample library\2021\Dinma [Dreamscape]\d.j.rogerswatchoutfortheriders(2) [Tuned].wav,d.j.rogerswatchoutfortheriders(2) [Tuned].wav,10.96,8,False,0,-50.85625457763672,29.14374542236328,-70.60124206542969,9.398759841918945,-417.7908630371094,218.19822692871094,E:\Documents\My Projects\Filtr\Data\audio_vectors\features\Spectrograms\d.j.rogerswatchoutfortheriders(2) [Tuned].npy,E:\Documents\My Projects\Filtr\Data\audio_vectors\features\MelSpectrograms\d.j.rogerswatchoutfortheriders(2) [Tuned].npy,E:\Documents\My Projects\Filtr\Data\audio_vectors\features\MFCCs\d.j.rogerswatchoutfortheriders(2) [Tuned].npy
1075,E:\Sample library\2021\Dinma [Dreamscape]\d.j.rogerswatchoutfortheriders(3) [Tuned].wav,d.j.rogerswatchoutfortheriders(3) [Tuned].wav,16.5,8,False,0,-51.54730987548828,28.45269012451172,-70.96469116210938,9.035311698913574,-434.5947570800781,214.81613159179688,E:\Documents\My Projects\Filtr\Data\audio_vectors\features\Spectrograms\d.j.rogerswatchoutfortheriders(3) [Tuned].npy,E:\Documents\My Projects\Filtr\Data\audio_vectors\features\MelSpectrograms\d.j.rogerswatchoutfortheriders(3) [Tuned].npy,E:\Documents\My Projects\Filtr\Data\audio_vectors\features\MFCCs\d.j.rogerswatchoutfortheriders(3) [Tuned].npy
1076,E:\Sample library\2021\Dinma [Dreamscape]\d.j.rogerswatchoutfortheriders(4) [Tuned].wav,d.j.rogerswatchoutfortheriders(4) [Tuned].wav,10.54,8,False,0,-51.08433151245117,28.915668487548828,-70.61556243896484,9.384440422058105,-266.15740966796875,220.0721435546875,E:\Documents\My Projects\Filtr\Data\audio_vectors\features\Spectrograms\d.j.rogerswatchoutfortheriders(4) [Tuned].npy,E:\Documents\My Projects\Filtr\Data\audio_vectors\features\MelSpectrograms\d.j.rogerswatchoutfortheriders(4) [Tuned].npy,E:\Documents\My Projects\Filtr\Data\audio_vectors\features\MFCCs\d.j.rogerswatchoutfortheriders(4) [Tuned].npy
1077,E:\Sample library\2021\Dinma [Dreamscape]\d.j.rogerswatchoutfortheriders(5) [Tuned].wav,d.j.rogerswatchoutfortheriders(5) [Tuned].wav,10.58,8,False,0,-51.21532440185547,28.7846736907959,-70.81869506835938,9.18130111694336,-295.3464660644531,213.62954711914062,E:\Documents\My Projects\Filtr\Data\audio_vectors\features\Spectrograms\d.j.rogerswatchoutfortheriders(5) [Tuned].npy,E:\Documents\My Projects\Filtr\Data\audio_vectors\features\MelSpectrograms\d.j.rogerswatchoutfortheriders(5) [Tuned].npy,E:\Documents\My Projects\Filtr\Data\audio_vectors\features\MFCCs\d.j.rogerswatchoutfortheriders(5) [Tuned].npy
1078,E:\Sample library\2021\Dinma [Dreamscape]\d.j.rogerswatchoutfortheriders(6) [Tuned].wav,d.j.rogerswatchoutfortheriders(6) [Tuned].wav,10.6,8,False,0,-51.41552734375,28.58447265625,-71.10118865966797,8.898811340332031,-255.43736267089844,206.05526733398438,E:\Documents\My Projects\Filtr\Data\audio_vectors\features\Spectrograms\d.j.rogerswatchoutfortheriders(6) [Tuned].npy,E:\Documents\My Projects\Filtr\Data\audio_vectors\features\MelSpectrograms\d.j.rogerswatchoutfortheriders(6) [Tuned].npy,E:\Documents\My Projects\Filtr\Data\audio_vectors\features\MFCCs\d.j.rogerswatchoutfortheriders(6) [Tuned].npy
1079,E:\Sample library\2021\Dinma [Dreamscape]\d.j.rogerswatchoutfortheriders(7) [Tuned].wav,d.j.rogerswatchoutfortheriders(7) [Tuned].wav,10.66,8,False,0,-50.831321716308594,29.168678283691406,-70.37281799316406,9.627184867858887,-266.3619384765625,194.8564910888672,E:\Documents\My Projects\Filtr\Data\audio_vectors\features\Spectrograms\d.j.rogerswatchoutfortheriders(7) [Tuned].npy,E:\Documents\My Projects\Filtr\Data\audio_vectors\features\MelSpectrograms\d.j.rogerswatchoutfortheriders(7) [Tuned].npy,E:\Documents\My Projects\Filtr\Data\audio_vectors\features\MFCCs\d.j.rogerswatchoutfortheriders(7) [Tuned].npy
1080,E:\Sample library\2021\Dinma [Dreamscape]\davidhooper-so unique (1).wav,davidhooper-so unique (1).wav,26.19,8,False,0,-53.693817138671875,26.306180953979492,-73.08769989013672,6.91229772567749,-441.4241638183594,214.77828979492188,E:\Documents\My Projects\Filtr\Data\audio_vectors\features\Spectrograms\davidhooper-so unique (1).npy,E:\Documents\My Projects\Filtr\Data\audio_vectors\features\MelSpectrograms\davidhooper-so unique (1).npy,E:\Documents\My Projects\Filtr\Data\audio_vectors\features\MFCCs\davidhooper-so unique (1).npy
1081,E:\Sample library\2021\Dinma [Dreamscape]\davidhooper-so unique (2).wav,davidhooper-so unique (2).wav,25.96,8,False,0,-49.865623474121094,30.134374618530273,-69.53404998779297,10.465950965881348,-424.2997131347656,236.76034545898438,E:\Documents\My Projects\Filtr\Data\audio_vectors\features\Spectrograms\davidhooper-so unique (2).npy,E:\Documents\My Projects\Filtr\Data\audio_vectors\features\MelSpectrograms\davidhooper-so unique (2).npy,E:\Documents\My Projects\Filtr\Data\audio_vectors\features\MFCCs\davidhooper-so unique (2).npy
1082,E:\Sample library\2021\Dinma [Dreamscape]\davidhooper-so unique (3).wav,davidhooper-so unique (3).wav,25.68,8,False,0,-49.851585388183594,30.148414611816406,-69.24546813964844,10.754532814025879,-399.7881774902344,238.3431396484375,E:\Documents\My Projects\Filtr\Data\audio_vectors\features\Spectrograms\davidhooper-so unique (3).npy,E:\Documents\My Projects\Filtr\Data\audio_vectors\features\MelSpectrograms\davidhooper-so unique (3).npy,E:\Documents\My Projects\Filtr\Data\audio_vectors\features\MFCCs\davidhooper-so unique (3).npy
